business_id,city,state,postal_code,latitude,longitude,stars,review_count,is_open,Alcohol,Ambience,Parking,BusinessAcceptsCreditCards,GoodForkids,NoiseLevel,OutdoorSeating,RestaurantsDelivery,PriceRange,RestaurantsReservations,RestaurantsTableService
__aKnGBedQ51_hEc3D9ARw,Phoenix,AZ,85016,33.510270018,-112.0289366,3,76,0,1,8,4,2,2,2,2,1,1,1,1
__eb2f_wEBrEl0xCyLqDeQ,Charlotte,NC,28263,35.148102,-80.92483,3,7,0,3,0,4,2,2,3,1,1,1,1,2
__fMLrmv9M1_W4kBvR2VnQ,Boulder City,NV,89005,35.9720798,-114.8499233,3.5,16,1,1,8,4,2,2,3,2,1,1,1,2
__H_61gpm7eViPMbWxPZSg,Fountain Hills,AZ,85268,33.5745565,-111.7163752,4.5,4,1,1,0,0,2,2,3,1,1,2,1,2
__IFWGnWgMJV-55JIQfzjw,Mesa,AZ,85209,33.3796229,-111.6011988,2.5,61,1,3,8,4,2,2,3,1,1,2,1,2
__rNL7RODe1D85sWuU-FKg,Cleveland Heights,OH,44118,41.505854,-81.565087,3.5,89,0,3,8,2,2,2,3,1,1,2,1,2
__zA29wBG0LleSxMzNHpwQ,Cave Creek,AZ,85331,33.8273269,-111.924099,4,77,1,3,8,4,2,2,3,2,1,2,2,2
_--LAZXefssKWdyn-BTp9A,Fitchburg,WI,53719,43.0148509,-89.4579482,2,3,0,1,0,0,2,2,3,1,1,2,1,2
_-3aZXuecjOSjramI1IBkA,Las Vegas,NV,89169,36.1240226,-115.1539076,3.5,3,1,1,0,0,2,2,3,1,1,1,1,2
_-cPPLRqL18W7AnuEv7yZw,Glendale,AZ,85305,33.536243726,-112.1855164,3,4,0,1,0,0,2,2,3,1,1,2,1,1
_-fdJ_43D9cHsdPRZ2lx3g,Scottsdale,AZ,85251,33.4990815,-111.9251292,3.5,8,1,3,0,0,2,2,1,2,1,2,2,2
_-FkDma7ozwx7-sYA3wAvQ,Huntersville,NC,28078,35.411622,-80.85526,3,14,1,1,0,0,2,2,3,1,1,1,1,1
_-NY8_8Jv6rwCGG405Br5g,Charlotte,NC,28217,35.16511612,-80.87982785,3,11,1,1,0,0,2,2,3,1,1,2,1,2
_-OBx0-ReIMrPOmaReB8-Q,Charlotte,NC,28263,35.232957,-80.844128,4,28,1,3,8,2,2,1,3,2,1,1,1,2
_-QrdVYJbebaC2qschZ6iQ,Las Vegas,NV,89102,36.1589888,-115.2020861,2,12,1,1,0,0,2,2,3,1,2,1,1,2
_-TX913SZTfkZuUYB76vPQ,Las Vegas,NV,89124,36.25784,-115.645378,3.5,93,0,3,8,4,2,2,3,2,1,2,2,2
_-VLl6JjZ7av3MwzjpHilQ,Las Vegas,NV,89109,36.128561,-115.1711298,4,5,0,1,0,0,2,2,3,1,1,1,1,2
_-W_hRQRDEqVdO1WKGa-DQ,Pittsburgh,PA,15212,40.4551576,-79.999728,4,176,1,3,8,2,2,2,3,1,1,2,2,2
_-Z2zPiuhw3V2RixPZ89Cw,Allison Park,PA,15101,40.5965122,-79.9480677,3,5,0,1,0,0,2,2,1,1,2,2,1,2
_0d-uqjdfeL23s2xgje4Pw,Concord,NC,28027,35.3660988,-80.7085115,3,26,1,3,0,4,2,1,2,2,1,2,1,2
_0W9-Gkjkcct8vcStBU7iQ,Pittsburgh,PA,15215,40.489602,-79.9029429,3,4,1,1,0,0,2,2,3,1,2,2,1,2
_0x7W6fizaPP76xNBxBLAQ,Las Vegas,NV,89148,36.0771893,-115.2985719,4,118,1,2,8,4,2,2,3,2,2,2,1,1
_0ZIFTvfcA3UETO_S_JTNA,Las Vegas,NV,89102,36.1439723,-115.2003406,2,30,1,1,0,0,2,2,4,1,1,1,1,1
_18eAwEHvc6RSa6MeynXag,Scottsdale,AZ,85254,33.6397015,-111.9443831,3.5,158,0,3,8,4,2,2,3,1,1,2,2,2
_1qJqLzrgKSwcL0-wizidA,Euclid,OH,44123,41.6155161,-81.5168381,4,19,0,2,0,4,1,2,3,1,1,1,1,2
_28WWtPWNYlxzl-GY9Gvog,Las Vegas,NV,89102,36.125363954,-115.1964797,2,20,1,3,0,0,2,2,3,1,1,2,2,2
_29kWahGAxn1QzMmxOCRlA,Pittsburgh,PA,15213,40.43378016,-79.96985793,4,4,0,1,0,0,2,1,3,2,1,1,1,1
_2fjiOHfu-S7fS2n4wfySw,Las Vegas,NV,89148,36.057842,-115.280943,4,48,1,1,8,4,2,2,3,2,1,1,1,1
_2iPJy_nNDkez2jSqa40xg,North Royalton,OH,44133,41.313575,-81.731203,3,3,1,1,0,0,2,2,3,1,1,1,1,2
_2O4E4qEnfSKWGnopxRxtQ,Charlotte,NC,28277,35.0611103,-80.817254,3,15,0,2,0,0,2,2,3,2,2,2,1,1
_2trMwFsh5-IqqEcQ-OLVA,Charlotte,NC,28273,35.1358714,-80.9401401,3.5,202,1,3,8,4,2,2,2,2,1,2,1,2
_2Wbpm821bdNsh-gyqufrg,Las Vegas,NV,89108,36.1953261,-115.2250414,2.5,16,1,1,0,0,2,2,3,2,1,1,1,1
_2zteKyb7si8VxMpGNYpxQ,Scottsdale,AZ,85259,33.5818523,-111.8312339,4.5,19,1,3,3,4,2,1,3,1,1,2,2,2
_33-XWJONocBnsQZX3JGFQ,Mesa,AZ,85201,33.4343748,-111.82412,4,15,1,1,8,0,2,2,3,1,1,1,1,2
_3FxLxdg1unUQc3QqIgJuA,Las Vegas,NV,89135,36.158216586,-115.3324127,3.5,318,1,3,7,1,2,1,3,2,1,4,2,2
_3o05Wdjfc8jOvGZ_q177Q,Mesa,AZ,85206,33.3935671,-111.6895637,2.5,52,0,3,8,4,2,2,3,1,1,2,1,2
_4bbY5joxS7ZM-027Gf6Jw,Phoenix,AZ,85048,33.3051079,-111.9994,4.5,7,0,2,0,0,2,2,1,1,1,2,1,2
_4Gpn_NIM94D9OFucgfaJQ,Scottsdale,AZ,85254,33.6220059,-111.9308935,4,485,1,3,7,5,2,1,3,1,1,4,2,2
_4KoAOFWFBu7xCoKtZfv6A,Fort Mill,SC,29708,35.0286102,-80.9675551,3,14,1,1,8,2,2,2,3,2,1,1,1,1
_4l36Tgbmoroh3udeXU-JA,Pittsburgh,PA,15222,40.4421708,-79.9990003,1.5,3,1,1,0,0,2,1,3,1,1,1,1,1
_4n7K_UdRSEMw4vJdsU9jQ,Phoenix,AZ,85027,33.6556205,-112.1327944,3.5,34,1,2,8,4,2,2,3,1,1,1,1,1
_4nmPgw_CWPS9Qkerkp0tg,Scottsdale,AZ,85254,33.62343745,-111.9246233,3.5,208,0,3,8,1,2,2,3,2,1,2,2,2
